name,county,address,city,state,zip,lat,lng,hrs,hour_flag
City of Cherry Hills Village,Arapahoe,2450 E Quincy Ave,Cherry Hills Village,CO,80113.0,39.637189,-104.95812,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
City of Glendale,Arapahoe,950 S Birch St,Glendale,CO,80246.0,39.699121,-104.9361,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
City of Greenwood Village,Arapahoe,6060 S Quebec St,Greenwood Village,CO,80111.0,39.60645,-104.90326,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
City of Sheridan,Arapahoe,4101 S Federal Blvd,Sheridan,CO,80110.0,39.641806,-105.02679,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Community College of Aurora - Lowry Campus,Arapahoe,710 Alton Way,Denver,CO,80230.0,39.727445,-104.879089,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Community College of Aurora- CentreTech Campus,Arapahoe,16000 E Centretech Pkwy,Aurora,CO,80011.0,39.717889,-104.802707,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Deer Trail Town Hall,Arapahoe,555 2nd Ave,Deer Trail,CO,80105.0,39.613509,-104.04535,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Eloise May Library,Arapahoe,1471 S Parker Rd,Denver,CO,80231.0,39.689899,-104.8911,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Englewood Civic Center,Arapahoe,1000 Englewood Pkwy,Englewood,CO,80110.0,39.65466,-104.99919,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Goodson Recreation Center,Arapahoe,6315 S University Blvd,Centennial,CO,80121.0,39.602682,-104.9619,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Heather Gardens Clubhouse,Arapahoe,2888 S Heather Gardens Way,Aurora,CO,80014.0,39.663455,-104.83051,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
